cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,lrscale,ctzcntr,gndr,agea,edulvla,tporgwk,hinctnt,hinctnta,regiongb,wrywprb,jbprtfp,stfjb,plnftr
GB,ESS1-9e01,1.0,10.12.2020,183696,ESS1e06_6,1,6.6,100314,1.0512,1.6558006202316,2.32684152046784,3.85278563277129,5,2,2,32,3,,6,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183697,ESS1e06_6,1,6.6,100317,0.5256,0.827900310115802,2.32684152046784,1.92639281638565,4,1,2,24,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183698,ESS1e06_6,1,6.6,100320,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,2,1,2,39,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183699,ESS1e06_6,1,6.6,100322,1.0512,1.94558115676641,2.32684152046784,4.52705901700394,5,1,1,16,2,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183700,ESS1e06_6,1,6.6,100324,1.0512,1.43267118142759,2.32684152046784,3.33359879012343,5,1,1,66,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183701,ESS1e06_6,1,6.6,100401,1.5768,2.14900677214139,2.32684152046784,5.00039818518514,5,1,1,69,5,,88,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183702,ESS1e06_6,1,6.6,100405,0.5256,0.972790578383205,2.32684152046784,2.26352950850196,6,1,1,25,5,,9,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183703,ESS1e06_6,1,6.6,100411,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,3,1,1,37,5,,12,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183704,ESS1e06_6,1,6.6,100413,0.5256,0.889285746816152,2.32684152046784,2.06922699925207,6,1,2,67,1,,4,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183705,ESS1e06_6,1,6.6,100415,0.5256,0.771535121820085,2.32684152046784,1.79523995595018,4,1,2,36,5,,8,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183706,ESS1e06_6,1,6.6,100416,0.5256,0.827900310115802,2.32684152046784,1.92639281638565,5,1,2,24,5,,77,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183707,ESS1e06_6,1,6.6,100421,1.0512,1.54307024364017,2.32684152046784,3.59047991190036,5,1,2,36,2,,8,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183708,ESS1e06_6,1,6.6,100424,1.0512,1.63227123122975,2.32684152046784,3.79803647349055,5,1,1,42,1,,5,,8,,,,
GB,ESS1-9e01,1.0,10.12.2020,183709,ESS1e06_6,1,6.6,100503,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,5,1,2,61,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183710,ESS1e06_6,1,6.6,100505,1.0512,1.27118738346816,2.32684152046784,2.95785158414857,8,1,1,51,2,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183711,ESS1e06_6,1,6.6,100507,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,5,1,2,77,2,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183712,ESS1e06_6,1,6.6,100508,1.5768,2.27278240222203,2.32684152046784,5.28840446047886,5,1,1,27,3,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183713,ESS1e06_6,1,6.6,100509,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,4,1,2,38,2,,10,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183714,ESS1e06_6,1,6.6,100510,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,5,1,1,77,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183715,ESS1e06_6,1,6.6,100511,2.1024,2.54237476693631,2.32684152046784,5.91570316829715,5,1,1,52,5,,7,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183716,ESS1e06_6,1,6.6,100512,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,88,1,1,22,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183717,ESS1e06_6,1,6.6,100514,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,5,1,2,79,2,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183718,ESS1e06_6,1,6.6,100516,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,9,1,2,52,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183719,ESS1e06_6,1,6.6,100517,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,88,1,2,42,3,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183720,ESS1e06_6,1,6.6,100518,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,6,1,2,83,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183721,ESS1e06_6,1,6.6,100519,0.5256,0.644755852368783,2.32684152046784,1.50024468785631,4,1,2,33,2,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183722,ESS1e06_6,1,6.6,100520,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,88,1,1,72,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183723,ESS1e06_6,1,6.6,100522,0.5256,0.600859522606026,2.32684152046784,1.39810488516818,88,1,2,35,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183724,ESS1e06_6,1,6.6,100523,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,5,1,1,61,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183725,ESS1e06_6,1,6.6,100601,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,5,1,2,37,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183726,ESS1e06_6,1,6.6,100603,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,3,1,2,40,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183727,ESS1e06_6,1,6.6,100604,1.0512,1.28951170473756,2.32684152046784,3.00048937571262,5,1,2,33,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183728,ESS1e06_6,1,6.6,100605,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,5,1,1,77,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183729,ESS1e06_6,1,6.6,100606,0.5256,0.600859522606026,2.32684152046784,1.39810488516818,0,1,2,50,1,,6,,11,,,,
